chrAll chrX chrY Label
Mesenchymal_stem_cell_day00_Maass.run7 0.0448870415902288 0.0456370235507813 0.0133463306004648 female
Mesenchymal_stem_cell_day00_Maass.run8 0.0440431258699317 0.0447287744664628 0.0129202236375695 female
Mesenchymal_stem_cell_day00_Maass.run9 0.0408396072135283 0.0420413635797205 0.0114814376990469 female
Pancreas_PatientF_Schmitt.run1 0.0500869724030715 0.0490406056694305 0.00978880489359867 female
Pancreas_PatientF_Schmitt.run2 0.092085656082092 0.0901266043110047 0.0180001840027197 female
Pancreas_PatientF_Schmitt.run3 0.0109403066411775 0.0106932993430985 0.00213402964296046 female
VSMC_day21_Maass.run1 0.0355455810394053 0.0350688901137103 0.010868951533107 female
VSMC_day21_Maass.run10 0.0392548409869361 0.0372211848695177 0.0137304122508417 female
VSMC_day21_Maass.run11 0.0391581480181004 0.0370996846692016 0.0137035020715159 female
VSMC_day21_Maass.run12 0.0386762423718168 0.0367637727276558 0.013193903656141 female
VSMC_day21_Maass.run13 0.0359503635018027 0.0331564042874786 0.0123603695885967 female
VSMC_day21_Maass.run14 0.0361674173239573 0.0333455854633492 0.0124765376874003 female
VSMC_day21_Maass.run15 0.0361370785388159 0.0333284809728885 0.0124457133001727 female
VSMC_day21_Maass.run16 0.0359409139764653 0.0333486359457243 0.0119201260444841 female
VSMC_day21_Maass.run17 0.0345725002308964 0.0340860836513403 0.00961902612585247 female
VSMC_day21_Maass.run18 0.0344941397317612 0.0339589374951996 0.00962860195589827 female
VSMC_day21_Maass.run19 0.0346904601157756 0.034180481981983 0.00964312296824867 female
VSMC_day21_Maass.run2 0.0356335892037489 0.0351144358663157 0.0109274374877845 female
VSMC_day21_Maass.run20 0.0320477505852037 0.0315323236258033 0.0087903149216158 female
VSMC_day21_Maass.run21 0.0344001762721844 0.0321412729656543 0.0110596817976139 female
VSMC_day21_Maass.run22 0.0345223185278093 0.0322429258048027 0.0110798993803931 female
VSMC_day21_Maass.run23 0.0344354365911437 0.0321567817205868 0.0111154068377892 female
VSMC_day21_Maass.run24 0.0340470834171573 0.0318710425238204 0.0106613936694502 female
VSMC_day21_Maass.run3 0.0356457797650301 0.0350942744849035 0.0108827561056183 female
VSMC_day21_Maass.run4 0.0339126869999407 0.0334105427939259 0.0102546131080707 female
VSMC_day21_Maass.run5 0.0534311135945557 0.0527689872581159 0.016189268727235 female
VSMC_day21_Maass.run6 0.0534985120164608 0.0529531569272273 0.0162459198969585 female
VSMC_day21_Maass.run7 0.0535811908707559 0.052954989780083 0.0162731620849902 female
VSMC_day21_Maass.run8 0.0512840266040741 0.050684174811994 0.0153849514258157 female
